City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
163,Souillac,MU,-20.52,57.52,73.4,78,40,6.93,scattered clouds
164,Innerleithen,GB,55.62,-3.06,44.01,10,23,1.99,few clouds
165,Severo-Kurilsk,RU,50.68,156.12,34.48,83,3,1.92,clear sky
166,Tukrah,LY,32.53,20.58,66.67,75,85,25.59,light rain
167,Alofi,NU,-19.06,-169.92,77.0,78,75,12.75,light intensity drizzle
168,Progreso,MX,21.28,-89.67,84.99,66,75,11.41,broken clouds
169,Wilhelmsburg,AT,48.11,15.61,39.99,87,0,5.99,clear sky
170,San Quintin,MX,30.48,-115.95,65.82,52,0,17.4,clear sky
171,Kungurtug,RU,50.6,97.52,20.97,93,70,1.16,broken clouds
172,Inirida,CO,3.87,-67.92,84.11,83,100,0.81,moderate rain
173,Marawi,PH,8.0,124.29,73.99,88,100,4.0,overcast clouds
174,Glace Bay,CA,46.2,-59.96,46.4,61,75,14.99,broken clouds
175,Roald,NO,62.58,6.13,45.0,93,90,4.7,overcast clouds
176,Sambava,MG,-14.27,50.17,74.79,86,100,10.94,light rain
177,Quartz Hill,US,34.65,-118.22,52.0,57,40,20.8,scattered clouds
178,Tucupita,VE,9.06,-62.05,79.68,93,100,4.27,heavy intensity rain
179,Kahului,US,20.89,-156.47,84.2,62,40,19.46,scattered clouds
180,Lompoc,US,34.64,-120.46,57.2,71,75,18.34,broken clouds
181,La Ronge,CA,55.1,-105.28,21.2,79,100,8.05,overcast clouds
182,Sao Filipe,CV,14.9,-24.5,79.7,76,28,16.06,light rain
183,Carnarvon,AU,-24.87,113.63,69.8,77,75,14.99,broken clouds
184,Sikonge,TZ,-5.63,32.77,75.7,34,18,7.29,few clouds
185,Bima,ID,-8.47,118.72,76.64,86,94,2.46,overcast clouds
186,Pachino,IT,36.72,15.09,59.0,84,5,4.0,clear sky
187,Faya,SA,18.39,42.45,62.6,63,0,1.86,clear sky
188,Tiksi,RU,71.69,128.87,-8.05,91,0,1.86,clear sky
189,Plouzane,FR,48.38,-4.62,57.2,100,90,9.17,overcast clouds
190,Taltal,CL,-25.4,-70.48,63.27,66,24,5.73,few clouds
191,Plettenberg Bay,ZA,-34.05,23.37,61.65,73,0,1.63,clear sky
192,Coihaique,CL,-45.58,-72.07,68.0,37,0,5.82,clear sky
193,Praya,CV,14.92,-23.51,78.8,78,0,10.29,clear sky
194,Pangai,TO,-19.8,-174.35,74.37,80,18,11.72,few clouds
195,Vanavara,RU,60.34,102.28,14.09,97,100,3.29,overcast clouds
196,Nelson Bay,AU,-32.72,152.15,64.99,55,44,8.05,light rain
197,Guijalo,PH,13.74,123.87,78.76,87,100,8.37,overcast clouds
198,Kimberley,ZA,-28.73,24.76,66.2,45,0,5.82,clear sky
199,Kargasok,RU,59.06,80.86,35.53,84,100,11.74,overcast clouds
200,Ojinaga,MX,29.57,-104.42,82.4,20,1,5.19,clear sky
201,Saint-Augustin,CA,51.23,-58.65,31.86,89,0,13.98,clear sky
202,Lismore,AU,-28.81,153.28,64.0,77,90,8.05,overcast clouds
203,Halifax,CA,44.65,-63.57,64.4,45,73,5.82,broken clouds
204,Yakuplu,TR,40.99,28.68,59.0,82,90,11.41,overcast clouds
205,Cabo San Lucas,MX,22.89,-109.91,84.0,65,40,10.29,scattered clouds
206,Pacific Grove,US,36.62,-121.92,57.99,62,20,8.05,few clouds
207,Bambous Virieux,MU,-20.34,57.76,73.4,78,75,6.93,broken clouds
208,Outram,MY,1.28,103.84,77.0,94,0,3.36,clear sky
209,Clyde River,CA,70.47,-68.59,-5.8,83,20,4.7,few clouds
210,Coquimbo,CL,-29.95,-71.34,62.6,67,0,13.87,clear sky
211,Superior,US,46.72,-92.1,53.6,87,75,9.17,broken clouds
212,Saldanha,ZA,-33.01,17.94,60.8,87,0,12.75,clear sky
213,Sibenik,HR,43.73,15.91,55.4,71,0,2.24,clear sky
214,Hithadhoo,MV,-0.6,73.08,82.87,74,89,9.75,moderate rain
215,Ewa Beach,US,21.32,-158.01,84.2,66,75,8.05,broken clouds
216,Birao,CF,10.28,22.79,77.2,33,93,3.96,overcast clouds
217,Champerico,GT,14.3,-91.92,86.0,74,40,9.17,scattered clouds
218,Dunedin,NZ,-45.87,170.5,52.0,59,93,18.01,light rain
219,Saint Anthony,US,45.02,-93.22,73.99,49,90,16.11,overcast clouds
220,Puerto Ayora,EC,-0.74,-90.35,78.8,65,20,23.04,few clouds
221,Road Town,VG,18.42,-64.62,84.2,74,40,6.93,scattered clouds
222,Lethem,GY,3.38,-59.8,84.79,69,100,7.83,overcast clouds
223,Sibu,MY,2.3,111.82,75.2,94,40,2.24,moderate rain
224,Buala,SB,-8.14,159.59,83.01,72,5,3.76,clear sky
