City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
521,Kandrian,PG,79.2,-6.22,149.55,broken clouds,Kandrian Station
522,Banjar,ID,75.58,-8.19,114.97,clear sky,The Hamsa Resort
525,Tonj,SS,76.69,7.27,28.68,overcast clouds,
532,Benguela,AO,76.96,-12.58,13.41,broken clouds,Hotel Praia Morena
536,Nuevo Progreso,MX,82.99,23.17,-97.95,broken clouds,Balneario Rio el Paraiso
537,Kaputa,ZM,75.07,-8.47,29.66,clear sky,Chelelwa Charlets
540,Adrar,MR,85.8,20.5,-10.07,broken clouds,
541,Sri Aman,MY,75.2,1.24,111.46,light rain,Seri Simanggang Hotel
542,Micheweni,TZ,78.93,-4.97,39.83,overcast clouds,
544,Ayutthaya,TH,78.8,14.28,100.5,broken clouds,Bann Thai Kae Ook
550,Waw,SS,78.44,7.7,28.0,overcast clouds,Universal Gab Hotel
551,Weligama,LK,77.16,5.97,80.42,clear sky,Weligama Bay Resort
554,The Valley,AI,84.2,18.22,-63.06,few clouds,CeBlue Villas & Beach Resort
561,Gouyave,GD,84.2,12.16,-61.73,scattered clouds,Rumboat Retreat
566,Buckeye,US,75.2,33.37,-112.58,scattered clouds,Buckeye Motor Hotel
568,Maragogi,BR,77.85,-9.01,-35.22,few clouds,Salinas do Maragogi All Inclusive Resort
569,Cayenne,GF,78.8,4.93,-52.33,moderate rain,Hôtel Le Dronmi
571,Gandu,BR,75.22,-13.74,-39.49,broken clouds,Pousada Duarte
573,Limulunga,ZM,80.15,-15.1,23.14,clear sky,Acamms Gardens
575,Teacapan,MX,83.84,22.55,-105.75,scattered clouds,Hotel los Mangos
578,Merauke,ID,76.12,-8.47,140.33,broken clouds,
579,Batticaloa,LK,79.23,7.71,81.69,moderate rain,Grand Star Guest House
580,Dulce Nombre De Culmi,HN,86.0,15.1,-85.53,shower rain,Hotel maria jose
581,Machilipatnam,IN,77.22,16.17,81.13,clear sky,RK Family Restaurant
583,Manuk Mangkaw,PH,82.44,4.8,119.85,overcast clouds,
587,Mataram,ID,77.0,-8.58,116.12,haze,Hotel Santika Mataram
588,Natal,BR,82.4,-5.79,-35.21,scattered clouds,Villa Park Hotel | Natal
592,Kidodi,TZ,75.16,-7.6,37.0,scattered clouds,
593,Vallenar,CL,78.37,-28.57,-70.76,clear sky,Humacao Bed & Breakfast
594,Banda Aceh,ID,78.46,5.56,95.32,overcast clouds,OYO 884 Rumoh PMI Hotel
599,Illapel,CL,76.37,-31.63,-71.17,clear sky,Hotel Londres
601,Quelimane,MZ,80.6,-17.88,36.89,clear sky,Hotel Flamingo
606,Sao Joao Da Barra,BR,77.0,-21.64,-41.05,broken clouds,Pousada Porto De Canoas
607,Pochutla,MX,89.01,15.74,-96.47,scattered clouds,Hotel Posada San Jose
608,Fort Morgan,US,77.0,40.25,-103.8,clear sky,Hampton Inn Fort Morgan
611,Kilindoni,TZ,80.38,-7.91,39.67,light rain,Bustani B&B
612,Slawi,ID,75.97,-6.98,109.14,clear sky,Permata Inn Hotel
614,Caiaponia,BR,82.44,-16.96,-51.81,broken clouds,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
621,Morondava,MG,80.02,-20.28,44.28,scattered clouds,La Case Bambou
627,Punta Cardon,VE,84.45,11.66,-70.22,overcast clouds,Posada Bambuda
628,Tirumullaivasal,IN,79.27,11.23,79.83,moderate rain,"MATHAMPATTINAM, MODUNUTTI GROUP"
629,Bubaque,GW,84.97,11.28,-15.83,clear sky,"Casa Dora, Bubaque"
632,Majene,ID,77.56,-3.54,118.97,broken clouds,Kost Putri RABBANI
636,Kavaratti,IN,82.98,10.57,72.64,clear sky,Hotels in Lakshadweep Islands
640,Porbandar,IN,78.1,21.64,69.61,clear sky,Lords Inn Porbandar
643,Yeppoon,AU,75.2,-23.13,150.73,overcast clouds,Villa Mar Colina
649,Luwuk,ID,77.65,-0.95,122.79,overcast clouds,Hotel Santika Luwuk
652,Itoman,JP,75.2,26.12,127.67,few clouds,Southern Beach Hotel & Resort Okinawa
655,Nishihara,JP,75.2,26.18,127.76,clear sky,Minshuku Agaihama
658,Del Rio,US,80.6,29.36,-100.9,broken clouds,Holiday Inn Express & Suites del Rio
663,North Myrtle Beach,US,78.8,33.82,-78.68,clear sky,Avista Resort
665,Ixtapa,MX,87.01,20.7,-105.2,clear sky,Container Inn Puerto Vallarta
666,Balikpapan,ID,76.21,-1.27,116.83,overcast clouds,Grand Jatra Hotel Balikpapan
668,Venado Tuerto,AR,82.99,-33.75,-61.97,clear sky,La Bianca.
671,Palu,ID,75.54,-0.89,119.87,light rain,Hotel Santika Palu
677,Rincon,US,75.99,32.3,-81.24,broken clouds,Bent tree subdivision
680,Santa Isabel Do Rio Negro,BR,75.88,-0.41,-65.02,moderate rain,Hotel GSA
681,Vanimo,PG,76.15,-2.67,141.3,heavy intensity rain,Vahmoneh Lodge Vanimo
682,Tual,ID,82.81,-5.67,132.75,overcast clouds,Grand Vilia Hotel
